Altitude_km,Loss_per_km_kg
68.80117171717173,7.934782608695759
68.94934343434343,11.220035160609058
69.09751515151515,15.510487018493633
69.24568686868687,25.05465083632716
69.3938585858586,28.664851955079246
69.5420303030303,13.977759807199158
69.69020202020202,6.019354518932287
69.83837373737374,18.081135829565323
69.98654545454546,24.952973344699636
70.13471717171717,17.857803808613678
70.28288888888889,4.299715339068532
70.43106060606061,12.987958747283812
70.57923232323233,0.06655019783674723
70.72740404040404,1.2842480558006093
70.87557575757576,2.775794144495575
71.02374747474748,3.0193289345765835
71.1719191919192,2.9722276407100923
71.32009090909091,2.8611486526357206
71.46826262626263,6.214683205307354
71.61643434343435,10.394808252711618
71.76460606060607,0.24863612345895608
71.91277777777778,0.9837679204864525
72.0609494949495,0.16893740930828482
72.20912121212122,0.0
72.35729292929294,0.0
72.50546464646465,0.0
72.65363636363637,0.0
72.80180808080809,0.0
72.94997979797981,0.0
73.09815151515151,0.0
73.24632323232323,0.0
73.39449494949496,0.0
73.54266666666668,0.0
73.69083838383838,0.0
73.8390101010101,0.0
73.98718181818182,0.0
74.13535353535354,0.0
74.28352525252525,0.0
74.43169696969697,0.0
74.57986868686869,0.0
74.72804040404041,0.0
74.87621212121212,0.0
75.02438383838384,0.0
75.17255555555556,0.0
75.32072727272728,0.0
75.46889898989899,0.0
75.61707070707071,0.0
75.76524242424243,0.0
75.91341414141415,0.0
76.06158585858586,0.0
76.20975757575758,0.0
76.3579292929293,0.0
76.50610101010102,0.0
76.65427272727273,0.0
76.80244444444445,0.0
76.95061616161617,0.0
77.09878787878789,0.0
77.2469595959596,0.0
77.39513131313132,0.0
77.54330303030304,0.0
77.69147474747476,0.44389632227939035
77.83964646464646,24.406897329436436
77.98781818181818,52.79025395313234
78.1359898989899,49.82507125968581
78.28416161616163,22.018338697014542
78.43233333333333,13.590681999581168
78.58050505050505,15.601330159256257
78.72867676767677,8.822200945643536
78.8768484848485,7.41422232413497
79.0250202020202,16.005816223452175
79.17319191919192,8.63651399387999
79.32136363636364,1.0469309952435868
79.46953535353536,0.0
79.61770707070707,0.0
79.76587878787879,2.4044647726496953
79.91405050505051,14.613179244685158
80.06222222222223,23.44213779469089
80.21039393939394,10.777862199154304
80.35856565656566,1.0620742333584618
80.50673737373738,7.601622542154872
80.6549090909091,5.185304519734747
80.80308080808081,0.44233439052440426
80.95125252525253,3.7876930142068814
81.09942424242425,3.1128044174787375
81.24759595959597,0.0
81.39576767676768,0.0
81.5439393939394,0.0
81.69211111111112,0.0
81.84028282828284,0.0
81.98845454545454,0.0
82.13662626262627,2.5684943552714183
82.28479797979799,11.176837512193444
82.4329696969697,4.464283562318357
82.58114141414141,0.28919157819236646
82.72931313131313,0.0
82.87748484848485,0.0
83.02565656565656,0.0
83.17382828282828,0.0
83.322,0.0
