Altitude_km,Loss_per_km_kg
100.31684848484848,8.187305776488978
100.51769696969697,10.168784172078496
100.71854545454545,9.643718028609442
100.91939393939394,9.167971964667657
101.12024242424242,8.657397626513502
101.32109090909091,8.135074973306535
101.52193939393939,7.64676032043542
101.72278787878788,7.173397895292722
101.92363636363636,6.675170677429277
102.12448484848485,6.206762541191149
102.32533333333333,5.726334166738425
102.52618181818181,5.238358670766691
102.7270303030303,4.770609048611035
102.92787878787878,4.309839520301789
103.12872727272728,3.831862837242924
103.32957575757575,3.3791415208207116
103.53042424242425,2.9354430698049714
103.73127272727272,2.4631580113811786
103.93212121212122,1.441810807769823
104.1329696969697,0.0
104.33381818181819,0.0
104.53466666666667,0.0
104.73551515151514,0.0
104.93636363636364,0.0
105.13721212121212,0.0
105.33806060606061,0.0
105.53890909090909,0.0
105.73975757575758,0.0
105.94060606060606,0.0
106.14145454545455,0.0
106.34230303030303,0.0
106.54315151515152,0.0
106.744,0.0
106.94484848484848,0.0
107.14569696969697,0.0
107.34654545454545,0.0
107.54739393939394,0.0
107.74824242424242,0.0
107.94909090909091,0.0
108.14993939393939,0.0
108.35078787878788,0.0
108.55163636363636,0.0
108.75248484848485,0.0
108.95333333333333,0.0
109.15418181818183,0.0
109.3550303030303,0.0
109.55587878787878,0.0
109.75672727272728,0.0
109.95757575757575,0.0
110.15842424242425,0.0
110.35927272727272,0.0
110.56012121212122,0.0
110.7609696969697,0.0
110.96181818181819,0.0
111.16266666666667,0.0
111.36351515151514,0.0
111.56436363636364,0.0
111.76521212121212,0.0
111.96606060606061,0.0
112.16690909090909,0.0
112.36775757575758,0.0
112.56860606060606,0.0
112.76945454545455,0.0
112.97030303030303,0.0
113.17115151515152,0.0
113.372,0.0
113.57284848484849,0.0
113.77369696969697,0.0
113.97454545454545,0.0
114.17539393939394,0.0
114.37624242424242,0.0
114.57709090909091,0.0
114.77793939393939,0.0
114.97878787878788,0.0
115.17963636363636,0.0
115.38048484848485,0.0
115.58133333333333,0.0
115.78218181818181,0.0
115.9830303030303,0.0
116.1838787878788,0.0
116.38472727272728,0.0
116.58557575757575,0.0
116.78642424242425,0.0
116.98727272727272,0.0
117.18812121212122,0.0
117.3889696969697,0.0
117.58981818181817,0.0
117.79066666666667,0.0
117.99151515151516,0.0
118.19236363636364,0.0
118.39321212121212,0.0
118.59406060606061,0.0
118.79490909090909,0.0
118.99575757575758,0.0
119.19660606060606,0.0
119.39745454545455,0.0
119.59830303030303,0.0
119.79915151515152,0.0
120.0,0.0
