#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.EPRM.6d068f8c-42c1-4e67-8a34-0e2d5d014c75_Trajectory.txt
# RunID         : sara
# ObjectID      : 6d068f8c-42c1-4e67-8a34-0e2d5d014c75
# ObjectName    : EPRM
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2354.100          89.986     -3.397    -23.804            7.337        17024.229      1.631      0.000      0.000    0.06429   26.78776           -0.45747      100.29077         3.425e-06 
  2354.200          89.980     -3.398    -23.798            7.337        17024.952      1.630      0.000      0.000    0.06423   26.78754           -0.45757      100.29034         3.428e-06 
  2354.650          89.954     -3.403    -23.769            7.336        17028.209      1.628      0.000      0.000    0.06396   26.78650           -0.45805      100.28840         3.442e-06 
  2355.650          89.895     -3.415    -23.705            7.335        17035.444      1.624      0.000      0.000    0.06335   26.78410           -0.45911      100.28408         3.476e-06 
  2356.650          89.836     -3.427    -23.641            7.335        17042.678      1.619      0.000      0.000    0.06269   26.78148           -0.46019      100.27975         3.513e-06 
  2357.650          89.777     -3.438    -23.577            7.334        17049.911      1.614      0.000      0.000    0.06204   26.77883           -0.46129      100.27541         3.550e-06 
  2358.650          89.718     -3.450    -23.513            7.333        17057.144      1.610      0.000      0.000    0.06139   26.77613           -0.46240      100.27105         3.587e-06 
  2359.650          89.659     -3.462    -23.448            7.332        17064.376      1.605      0.000      0.000    0.06075   26.77339           -0.46353      100.26668         3.625e-06 
  2360.650          89.600     -3.473    -23.384            7.331        17071.607      1.600      0.000      0.000    0.06012   26.77062           -0.46468      100.26229         3.663e-06 
  2361.650          89.540     -3.485    -23.320            7.330        17078.838      1.596      0.000      0.000    0.05949   26.76780           -0.46585      100.25789         3.702e-06 
