#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.ValvTran1.dbc90029-7fb7-49aa-9c6b-6640ca879b06_Trajectory.txt
# RunID         : sara
# ObjectID      : dbc90029-7fb7-49aa-9c6b-6640ca879b06
# ObjectName    : ValvTran1
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2482.100          87.844    -10.244    -87.377            7.331        17951.960      1.939      0.000      0.000    0.09353   26.77783           -0.48406       88.71582         5.012e-06 
  2482.200          87.838    -10.244    -87.370            7.331        17952.683      1.938      0.000      0.000    0.09344   26.77702           -0.48418       88.71450         5.017e-06 
  2482.650          87.810    -10.243    -87.341            7.329        17955.936      1.936      0.000      0.000    0.09302   26.77329           -0.48473       88.70855         5.039e-06 
  2483.650          87.748    -10.242    -87.275            7.327        17963.164      1.930      0.000      0.000    0.09207   26.76468           -0.48599       88.69534         5.091e-06 
  2484.650          87.686    -10.240    -87.209            7.324        17970.389      1.923      0.000      0.000    0.09106   26.75536           -0.48730       88.68213         5.148e-06 
  2485.650          87.624    -10.239    -87.143            7.322        17977.612      1.916      0.000      0.000    0.09006   26.74596           -0.48866       88.66892         5.205e-06 
  2486.650          87.561    -10.237    -87.077            7.319        17984.832      1.910      0.000      0.000    0.08907   26.73649           -0.49007       88.65573         5.264e-06 
  2487.650          87.498    -10.236    -87.011            7.317        17992.050      1.903      0.000      0.000    0.08808   26.72694           -0.49153       88.64253         5.323e-06 
  2488.650          87.436    -10.234    -86.945            7.314        17999.265      1.897      0.000      0.000    0.08710   26.71730           -0.49304       88.62935         5.382e-06 
  2489.650          87.373    -10.232    -86.879            7.311        18006.478      1.890      0.000      0.000    0.08613   26.70759           -0.49461       88.61617         5.443e-06 
  2490.650          87.309    -10.231    -86.814            7.308        18013.688      1.884      0.000      0.000    0.08517   26.69780           -0.49622       88.60300         5.504e-06 
  2491.650          87.246    -10.229    -86.748            7.306        18020.896      1.877      0.000      0.000    0.08422   26.68793           -0.49789       88.58983         5.567e-06 
  2492.650          87.182    -10.228    -86.682            7.303        18028.100      1.871      0.000      0.000    0.08328   26.67798           -0.49961       88.57667         5.630e-06 
  2493.650          87.119    -10.226    -86.616            7.300        18035.303      1.865      0.000      0.000    0.08234   26.66794           -0.50138       88.56352         5.694e-06 
  2494.650          87.055    -10.224    -86.551            7.298        18042.502      1.858      0.000      0.000    0.08141   26.65782           -0.50321       88.55038         5.759e-06 
  2495.650          86.990    -10.223    -86.485            7.295        18049.699      1.852      0.000      0.000    0.08049   26.64763           -0.50509       88.53724         5.825e-06 
  2496.650          86.926    -10.221    -86.419            7.292        18056.894      1.845      0.000      0.000    0.07957   26.63735           -0.50702       88.52410         5.892e-06 
  2497.650          86.861    -10.219    -86.354            7.289        18064.085      1.839      0.000      0.000    0.07866   26.62698           -0.50901       88.51098         5.961e-06 
  2498.650          86.797    -10.218    -86.288            7.286        18071.274      1.833      0.000      0.000    0.07776   26.61654           -0.51105       88.49786         6.030e-06 
  2499.650          86.731    -10.216    -86.222            7.283        18078.460      1.826      0.000      0.000    0.07687   26.60600           -0.51315       88.48474         6.100e-06 
  2500.650          86.666    -10.214    -86.157            7.281        18085.643      1.820      0.000      0.000    0.07598   26.59538           -0.51531       88.47164         6.171e-06 
  2501.650          86.600    -10.212    -86.091            7.278        18092.824      1.814      0.000      0.000    0.07510   26.58468           -0.51752       88.45854         6.244e-06 
  2502.650          86.535    -10.211    -86.026            7.275        18100.002      1.807      0.000      0.000    0.07423   26.57389           -0.51979       88.44545         6.317e-06 
  2503.650          86.468    -10.209    -85.960            7.272        18107.176      1.801      0.000      0.000    0.07336   26.56302           -0.52212       88.43236         6.392e-06 
  2504.650          86.402    -10.207    -85.895            7.269        18114.348      1.795      0.000      0.000    0.07250   26.55206           -0.52450       88.41928         6.468e-06 
  2505.650          86.335    -10.205    -85.830            7.266        18121.518      1.789      0.000      0.000    0.07165   26.54101           -0.52694       88.40621         6.545e-06 
  2506.650          86.268    -10.204    -85.764            7.263        18128.684      1.782      0.000      0.000    0.07080   26.52987           -0.52945       88.39315         6.623e-06 
  2507.650          86.201    -10.202    -85.699            7.260        18135.847      1.776      0.000      0.000    0.06996   26.51864           -0.53201       88.38009         6.703e-06 
  2508.650          86.134    -10.200    -85.634            7.257        18143.007      1.770      0.000      0.000    0.06912   26.50733           -0.53463       88.36704         6.784e-06 
  2509.650          86.066    -10.198    -85.568            7.253        18150.165      1.764      0.000      0.000    0.06829   26.49592           -0.53731       88.35400         6.867e-06 
  2510.650          85.998    -10.196    -85.503            7.250        18157.319      1.757      0.000      0.000    0.06747   26.48442           -0.54005       88.34096         6.951e-06 
  2511.650          85.929    -10.194    -85.438            7.247        18164.471      1.752      0.000      0.000    0.06670   26.46406           -0.54285       88.32794         7.031e-06 
  2512.650          85.860    -10.192    -85.372            7.244        18171.619      1.746      0.000      0.000    0.06594   26.44273           -0.54571       88.31492         7.112e-06 
  2513.650          85.791    -10.191    -85.307            7.241        18178.764      1.740      0.000      0.000    0.06518   26.42131           -0.54864       88.30191         7.195e-06 
  2514.650          85.722    -10.189    -85.242            7.238        18185.906      1.734      0.000      0.000    0.06443   26.39976           -0.55163       88.28890         7.279e-06 
  2515.650          85.652    -10.187    -85.177            7.234        18193.046      1.729      0.000      0.000    0.06368   26.37810           -0.55468       88.27590         7.364e-06 
  2516.650          85.581    -10.185    -85.112            7.231        18200.182      1.723      0.000      0.000    0.06294   26.35631           -0.55779       88.26291         7.451e-06 
  2517.650          85.511    -10.183    -85.047            7.228        18207.314      1.717      0.000      0.000    0.06221   26.33442           -0.56097       88.24993         7.539e-06 
  2518.650          85.440    -10.181    -84.982            7.225        18214.444      1.712      0.000      0.000    0.06148   26.31235           -0.56422       88.23696         7.629e-06 
  2519.650          85.369    -10.179    -84.917            7.221        18221.570      1.706      0.000      0.000    0.06075   26.29015           -0.56753       88.22399         7.720e-06 
  2520.650          85.297    -10.177    -84.852            7.218        18228.694      1.700      0.000      0.000    0.06003   26.26787           -0.57090       88.21104         7.812e-06 
  2521.650          85.225    -10.175    -84.787            7.214        18235.814      1.695      0.000      0.000    0.05932   26.24543           -0.57434       88.19809         7.907e-06 
