#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.RWheel1.63a9fa44-0b0d-449a-a8fd-6346d2c3bd5a_Trajectory.txt
# RunID         : sara
# ObjectID      : 63a9fa44-0b0d-449a-a8fd-6346d2c3bd5a
# ObjectName    : RWheel1
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2482.100          87.844    -10.244    -87.377            7.331        17951.960      0.851      0.000      0.000    0.03786   26.77783           -0.48406       88.71582         5.012e-06 
  2482.200          87.838    -10.244    -87.370            7.331        17952.683      0.851      0.000      0.000    0.03783   26.77758           -0.48418       88.71450         5.017e-06 
  2482.650          87.810    -10.243    -87.341            7.330        17955.936      0.850      0.000      0.000    0.03766   26.77644           -0.48473       88.70855         5.039e-06 
  2483.650          87.748    -10.242    -87.275            7.330        17963.166      0.849      0.000      0.000    0.03727   26.77381           -0.48595       88.69533         5.091e-06 
  2484.650          87.686    -10.240    -87.209            7.329        17970.395      0.847      0.000      0.000    0.03686   26.77094           -0.48719       88.68212         5.148e-06 
  2485.650          87.624    -10.239    -87.143            7.328        17977.623      0.845      0.000      0.000    0.03646   26.76803           -0.48844       88.66891         5.205e-06 
  2486.650          87.561    -10.237    -87.077            7.327        17984.850      0.843      0.000      0.000    0.03605   26.76509           -0.48971       88.65570         5.264e-06 
  2487.650          87.498    -10.236    -87.011            7.326        17992.077      0.842      0.000      0.000    0.03566   26.76211           -0.49099       88.64249         5.323e-06 
  2488.650          87.436    -10.234    -86.945            7.326        17999.303      0.840      0.000      0.000    0.03526   26.75908           -0.49230       88.62929         5.382e-06 
  2489.650          87.372    -10.232    -86.879            7.325        18006.528      0.838      0.000      0.000    0.03487   26.75602           -0.49362       88.61609         5.443e-06 
  2490.650          87.309    -10.231    -86.813            7.324        18013.752      0.837      0.000      0.000    0.03448   26.75292           -0.49495       88.60290         5.505e-06 
  2491.650          87.246    -10.229    -86.747            7.323        18020.976      0.835      0.000      0.000    0.03409   26.74978           -0.49631       88.58971         5.567e-06 
  2492.650          87.182    -10.228    -86.681            7.322        18028.198      0.833      0.000      0.000    0.03371   26.74660           -0.49768       88.57652         5.630e-06 
  2493.650          87.119    -10.226    -86.615            7.321        18035.420      0.832      0.000      0.000    0.03333   26.74338           -0.49906       88.56333         5.694e-06 
  2494.650          87.055    -10.224    -86.549            7.320        18042.642      0.830      0.000      0.000    0.03296   26.74012           -0.50047       88.55015         5.759e-06 
  2495.650          86.991    -10.223    -86.483            7.319        18049.862      0.828      0.000      0.000    0.03258   26.73682           -0.50189       88.53698         5.825e-06 
  2496.650          86.927    -10.221    -86.418            7.319        18057.082      0.827      0.000      0.000    0.03222   26.73347           -0.50334       88.52380         5.892e-06 
  2497.650          86.862    -10.219    -86.352            7.318        18064.300      0.825      0.000      0.000    0.03185   26.73009           -0.50479       88.51063         5.960e-06 
  2498.650          86.798    -10.218    -86.286            7.317        18071.518      0.824      0.000      0.000    0.03149   26.72667           -0.50627       88.49747         6.028e-06 
  2499.650          86.733    -10.216    -86.220            7.316        18078.735      0.822      0.000      0.000    0.03113   26.72321           -0.50777       88.48430         6.098e-06 
  2500.650          86.668    -10.214    -86.154            7.315        18085.951      0.821      0.000      0.000    0.03077   26.71970           -0.50928       88.47114         6.169e-06 
  2501.650          86.603    -10.212    -86.088            7.314        18093.167      0.819      0.000      0.000    0.03042   26.71615           -0.51082       88.45799         6.241e-06 
  2502.650          86.538    -10.211    -86.022            7.313        18100.381      0.818      0.000      0.000    0.03007   26.71257           -0.51237       88.44484         6.314e-06 
  2503.650          86.472    -10.209    -85.957            7.312        18107.595      0.817      0.000      0.000    0.02972   26.70894           -0.51394       88.43169         6.388e-06 
  2504.650          86.406    -10.207    -85.891            7.311        18114.808      0.815      0.000      0.000    0.02937   26.70527           -0.51554       88.41855         6.463e-06 
  2505.650          86.341    -10.205    -85.825            7.310        18122.019      0.814      0.000      0.000    0.02903   26.70155           -0.51715       88.40541         6.539e-06 
  2506.650          86.275    -10.203    -85.759            7.309        18129.230      0.813      0.000      0.000    0.02869   26.69780           -0.51878       88.39227         6.616e-06 
  2507.650          86.208    -10.202    -85.693            7.308        18136.440      0.811      0.000      0.000    0.02836   26.69400           -0.52043       88.37914         6.695e-06 
  2508.650          86.142    -10.200    -85.628            7.307        18143.649      0.810      0.000      0.000    0.02802   26.69017           -0.52210       88.36601         6.775e-06 
  2509.650          86.075    -10.198    -85.562            7.306        18150.857      0.809      0.000      0.000    0.02769   26.68629           -0.52379       88.35289         6.856e-06 
  2510.650          86.008    -10.196    -85.496            7.305        18158.065      0.807      0.000      0.000    0.02736   26.68236           -0.52551       88.33977         6.938e-06 
  2511.650          85.941    -10.194    -85.430            7.304        18165.271      0.806      0.000      0.000    0.02705   26.67123           -0.52724       88.32665         7.017e-06 
  2512.650          85.874    -10.192    -85.365            7.303        18172.476      0.805      0.000      0.000    0.02675   26.65770           -0.52899       88.31354         7.096e-06 
  2513.650          85.806    -10.190    -85.299            7.302        18179.680      0.804      0.000      0.000    0.02645   26.64413           -0.53077       88.30043         7.177e-06 
  2514.650          85.738    -10.188    -85.233            7.301        18186.883      0.803      0.000      0.000    0.02615   26.63050           -0.53257       88.28733         7.259e-06 
  2515.650          85.670    -10.186    -85.168            7.300        18194.086      0.802      0.000      0.000    0.02586   26.61681           -0.53439       88.27423         7.341e-06 
  2516.650          85.602    -10.184    -85.102            7.298        18201.287      0.801      0.000      0.000    0.02557   26.60305           -0.53623       88.26114         7.425e-06 
  2517.650          85.534    -10.182    -85.036            7.297        18208.487      0.800      0.000      0.000    0.02528   26.58925           -0.53809       88.24805         7.511e-06 
  2518.650          85.465    -10.180    -84.970            7.296        18215.686      0.799      0.000      0.000    0.02499   26.57536           -0.53998       88.23496         7.597e-06 
  2519.650          85.396    -10.178    -84.905            7.295        18222.885      0.798      0.000      0.000    0.02471   26.56137           -0.54189       88.22188         7.685e-06 
  2520.650          85.327    -10.176    -84.839            7.294        18230.082      0.797      0.000      0.000    0.02442   26.54737           -0.54382       88.20881         7.773e-06 
  2521.650          85.258    -10.174    -84.774            7.293        18237.278      0.796      0.000      0.000    0.02414   26.53329           -0.54577       88.19573         7.864e-06 
  2522.650          85.188    -10.172    -84.708            7.292        18244.473      0.795      0.000      0.000    0.02387   26.51914           -0.54775       88.18267         7.955e-06 
  2523.650          85.118    -10.170    -84.642            7.290        18251.666      0.794      0.000      0.000    0.02359   26.50492           -0.54975       88.16960         8.048e-06 
  2524.650          85.048    -10.168    -84.577            7.289        18258.859      0.793      0.000      0.000    0.02332   26.49062           -0.55178       88.15654         8.142e-06 
  2525.650          84.978    -10.166    -84.511            7.288        18266.051      0.792      0.000      0.000    0.02305   26.47626           -0.55382       88.14349         8.237e-06 
  2526.650          84.908    -10.164    -84.445            7.287        18273.241      0.791      0.000      0.000    0.02278   26.46182           -0.55590       88.13044         8.334e-06 
  2527.650          84.837    -10.162    -84.380            7.285        18280.430      0.791      0.000      0.000    0.02252   26.44731           -0.55800       88.11740         8.432e-06 
  2528.650          84.766    -10.160    -84.314            7.284        18287.619      0.790      0.000      0.000    0.02225   26.43273           -0.56012       88.10436         8.532e-06 
  2529.650          84.694    -10.157    -84.249            7.283        18294.806      0.789      0.000      0.000    0.02199   26.41807           -0.56227       88.09132         8.633e-06 
  2530.650          84.623    -10.155    -84.183            7.282        18301.991      0.788      0.000      0.000    0.02173   26.40337           -0.56444       88.07829         8.736e-06 
