# object name: SVM
-2.879793 -0.523599 1.000000
-2.617994 -0.523599 1.000000
-2.356194 -0.523599 1.000000
-2.094395 -0.523599 1.000000
-1.832596 -0.523599 1.000000
-1.570796 -0.523599 1.000000
-1.308997 -0.523599 0.870349
-1.047198 -0.523599 0.772091
-0.785398 -0.523599 0.693472
-0.523599 -0.523599 0.639171
-0.261799 -0.523599 0.611473
0.000000 -0.523599 0.648889
0.261799 -0.523599 0.611473
0.523599 -0.523599 0.639171
0.785398 -0.523599 0.693472
1.047198 -0.523599 0.772091
1.308997 -0.523599 0.870349
1.570796 -0.523599 1.000000
1.832596 -0.523599 1.000000
2.094395 -0.523599 1.000000
2.356194 -0.523599 1.000000
2.617994 -0.523599 1.000000
2.879793 -0.523599 1.000000
3.141593 -0.523599 1.000000

-3.141593 -0.261799 1.000000
-2.879793 -0.261799 1.000000
-2.617994 -0.261799 1.000000
-2.356194 -0.261799 1.000000
-2.094395 -0.261799 1.000000
-1.832596 -0.261799 1.000000
-1.570796 -0.261799 1.000000
-1.308997 -0.261799 0.847553
-1.047198 -0.261799 0.743202
-0.785398 -0.261799 0.653233
-0.523599 -0.261799 0.587190
-0.261799 -0.261799 0.538620
0.000000 -0.261799 0.577273
0.261799 -0.261799 0.538620
0.523599 -0.261799 0.587190
0.785398 -0.261799 0.653233
1.047198 -0.261799 0.743202
1.308997 -0.261799 0.847553
1.570796 -0.261799 1.000000
1.832596 -0.261799 1.000000
2.094395 -0.261799 1.000000
2.356194 -0.261799 1.000000
2.617994 -0.261799 1.000000
2.879793 -0.261799 1.000000
3.141593 -0.261799 1.000000

-3.141593 0.000000 1.000000
-2.879793 0.000000 1.000000
-2.617994 0.000000 1.000000
-2.356194 0.000000 1.000000
-2.094395 0.000000 1.000000
-1.832596 0.000000 1.000000
-1.570796 0.000000 1.000000
-1.308997 0.000000 0.842424
-1.047198 0.000000 0.748837
-0.785398 0.000000 0.676000
-0.523599 0.000000 0.622222
-0.261799 0.000000 0.577778
0.000000 0.000000 0.640000
0.261799 0.000000 0.577778
0.523599 0.000000 0.622222
0.785398 0.000000 0.676000
1.047198 0.000000 0.748837
1.308997 0.000000 0.842424
1.570796 0.000000 1.000000
1.832596 0.000000 1.000000
2.094395 0.000000 1.000000
2.356194 0.000000 1.000000
2.617994 0.000000 1.000000
2.879793 0.000000 1.000000
3.141593 0.000000 1.000000

-3.141593 0.261799 1.000000
-2.879793 0.261799 1.000000
-2.617994 0.261799 1.000000
-2.356194 0.261799 1.000000
-2.094395 0.261799 1.000000
-1.832596 0.261799 1.000000
-1.570796 0.261799 1.000000
-1.308997 0.261799 0.847553
-1.047198 0.261799 0.743202
-0.785398 0.261799 0.653233
-0.523599 0.261799 0.587190
-0.261799 0.261799 0.538620
0.000000 0.261799 0.577273
0.261799 0.261799 0.538620
0.523599 0.261799 0.587190
0.785398 0.261799 0.653233
1.047198 0.261799 0.743202
1.308997 0.261799 0.847553
1.570796 0.261799 1.000000
1.832596 0.261799 1.000000
2.094395 0.261799 1.000000
2.356194 0.261799 1.000000
2.617994 0.261799 1.000000
2.879793 0.261799 1.000000
3.141593 0.261799 1.000000

-3.141593 0.523599 1.000000
-2.879793 0.523599 1.000000
-2.617994 0.523599 1.000000
-2.356194 0.523599 1.000000
-2.094395 0.523599 1.000000
-1.832596 0.523599 1.000000
-1.570796 0.523599 1.000000
-1.308997 0.523599 0.870349
-1.047198 0.523599 0.772091
-0.785398 0.523599 0.693472
-0.523599 0.523599 0.639171
-0.261799 0.523599 0.611473
0.000000 0.523599 0.648889
0.261799 0.523599 0.611473
0.523599 0.523599 0.639171
0.785398 0.523599 0.693472
1.047198 0.523599 0.772091
1.308997 0.523599 0.870349
1.570796 0.523599 1.000000
1.832596 0.523599 1.000000
2.094395 0.523599 1.000000
2.356194 0.523599 1.000000
2.617994 0.523599 1.000000
2.879793 0.523599 1.000000
3.141593 0.523599 1.000000

-3.141593 0.785398 1.000000
-2.879793 0.785398 1.000000
-2.617994 0.785398 1.000000
-2.356194 0.785398 1.000000
-2.094395 0.785398 1.000000
-1.832596 0.785398 1.000000
-1.570796 0.785398 1.000000
-1.308997 0.785398 0.896334
-1.047198 0.785398 0.811516
-0.785398 0.785398 0.744633
-0.523599 0.785398 0.700128
-0.261799 0.785398 0.689817
0.000000 0.785398 0.702326
0.261799 0.785398 0.689817
0.523599 0.785398 0.700128
0.785398 0.785398 0.744633
1.047198 0.785398 0.811516
1.308997 0.785398 0.896334
1.570796 0.785398 1.000000
1.832596 0.785398 1.000000
2.094395 0.785398 1.000000
2.356194 0.785398 1.000000
2.617994 0.785398 1.000000
2.879793 0.785398 1.000000
3.141593 0.785398 1.000000

-3.141593 1.047198 1.000000
-2.879793 1.047198 1.000000
-2.617994 1.047198 1.000000
-2.356194 1.047198 1.000000
-2.094395 1.047198 1.000000
-1.832596 1.047198 1.000000
-1.570796 1.047198 1.000000
-1.308997 1.047198 0.926426
-1.047198 1.047198 0.857143
-0.785398 1.047198 0.807400
-0.523599 1.047198 0.776912
-0.261799 1.047198 0.768370
0.000000 1.047198 0.767368
0.261799 1.047198 0.768370
0.523599 1.047198 0.776912
0.785398 1.047198 0.807400
1.047198 1.047198 0.857143
1.308997 1.047198 0.926426
1.570796 1.047198 1.000000
1.832596 1.047198 1.000000
2.094395 1.047198 1.000000
2.356194 1.047198 1.000000
2.617994 1.047198 1.000000
2.879793 1.047198 1.000000
3.141593 1.047198 1.000000

-3.141593 1.308997 1.000000
-2.879793 1.308997 1.000000
-2.617994 1.308997 1.000000
-2.356194 1.308997 1.000000
-2.094395 1.308997 1.000000
-1.832596 1.308997 1.000000
-1.570796 1.308997 1.000000
-1.308997 1.308997 0.961213
-1.047198 1.308997 0.921916
-0.785398 1.308997 0.894177
-0.523599 1.308997 0.869884
-0.261799 1.308997 0.858888
0.000000 1.308997 0.859355
0.261799 1.308997 0.858888
0.523599 1.308997 0.869884
0.785398 1.308997 0.894177
1.047198 1.308997 0.921916
1.308997 1.308997 0.961213
1.570796 1.308997 1.000000
1.832596 1.308997 1.000000
2.094395 1.308997 1.000000
2.356194 1.308997 1.000000
2.617994 1.308997 1.000000
2.879793 1.308997 1.000000
3.141593 1.308997 1.000000

-3.141593 1.570796 1.000000
-2.879793 1.570796 1.000000
-2.617994 1.570796 1.000000
-2.356194 1.570796 1.000000
-2.094395 1.570796 1.000000
-1.832596 1.570796 1.000000
-1.570796 1.570796 1.000000
-1.308997 1.570796 1.000000
-1.047198 1.570796 1.000000
-0.785398 1.570796 1.000000
-0.523599 1.570796 1.000000
-0.261799 1.570796 1.000000
0.000000 1.570796 1.000000
0.261799 1.570796 1.000000
0.523599 1.570796 1.000000
0.785398 1.570796 1.000000
1.047198 1.570796 1.000000
1.308997 1.570796 1.000000
1.570796 1.570796 1.000000
1.832596 1.570796 1.000000
2.094395 1.570796 1.000000
2.356194 1.570796 1.000000
2.617994 1.570796 1.000000
2.879793 1.570796 1.000000
3.141593 1.570796 1.000000

