# Documentation: DRAMA Software User Manual, section 7.3.2.7
latitude, imp.probability [1], casualty [1], fatality [1]
90.00833333334491, 0.0, 0.0, 0.0
90.00000000001157, 4.629629629625419E-5, 0.0, 0.0
89.99166666667824, 4.6296296296333137E-5, 0.0, 0.0
89.9833333333449, 4.629629629625419E-5, 0.0, 0.0
89.97500000001158, 4.6296296296333137E-5, 0.0, 0.0
89.96666666667824, 4.6296296296333137E-5, 0.0, 0.0
89.9583333333449, 4.629629629625419E-5, 0.0, 0.0
89.95000000001157, 4.6296296296333137E-5, 0.0, 0.0
89.94166666667823, 4.629629629625419E-5, 0.0, 0.0
89.9333333333449, 4.6296296296333137E-5, 0.0, 0.0
89.92500000001156, 4.629629629625419E-5, 0.0, 0.0
89.91666666667824, 4.6296296296333137E-5, 0.0, 0.0
89.9083333333449, 4.6296296296333137E-5, 0.0, 0.0
89.90000000001156, 4.629629629625419E-5, 0.0, 0.0
89.89166666667823, 4.6296296296333137E-5, 0.0, 0.0
89.8833333333449, 4.629629629625419E-5, 0.0, 0.0
89.87500000001157, 4.6296296296333137E-5, 0.0, 0.0
89.86666666667823, 4.629629629625419E-5, 0.0, 0.0
89.8583333333449, 4.6296296296333137E-5, 0.0, 0.0
89.85000000001156, 4.6296296296333137E-5, 0.0, 0.0
89.84166666667822, 4.629629629625419E-5, 0.0, 0.0
89.8333333333449, 4.6296296296333137E-5, 0.0, 0.0
89.82500000001156, 4.629629629625419E-5, 0.0, 0.0
89.81666666667823, 4.6296296296333137E-5, 0.0, 0.0
89.80833333334489, 4.629629629625419E-5, 0.0, 0.0
89.80000000001156, 4.6296296296333137E-5, 0.0, 0.0
89.79166666667822, 4.6296296296333137E-5, 0.0, 0.0
89.78333333334488, 4.629629629625419E-5, 0.0, 0.0
89.77500000001156, 4.6296296296333137E-5, 0.0, 0.0
89.76666666667822, 4.629629629625419E-5, 0.0, 0.0
89.7583333333449, 4.6296296296333137E-5, 0.0, 0.0
89.75000000001155, 4.629629629625419E-5, 0.0, 0.0
89.74166666667823, 4.6296296296333137E-5, 0.0, 0.0
89.73333333334489, 4.6296296296333137E-5, 0.0, 0.0
89.72500000001155, 4.629629629625419E-5, 0.0, 0.0
89.71666666667822, 4.6296296296333137E-5, 0.0, 0.0
89.70833333334488, 4.629629629625419E-5, 0.0, 0.0
