# object name: IFring
-2.879793 -0.523599 1.000000
-2.617994 -0.523599 1.000000
-2.356194 -0.523599 1.000000
-2.094395 -0.523599 1.000000
-1.832596 -0.523599 1.000000
-1.570796 -0.523599 1.000000
-1.308997 -0.523599 1.000000
-1.047198 -0.523599 0.837500
-0.785398 -0.523599 0.613577
-0.523599 -0.523599 0.408115
-0.261799 -0.523599 0.297052
0.000000 -0.523599 0.319635
0.261799 -0.523599 0.297052
0.523599 -0.523599 0.408115
0.785398 -0.523599 0.613577
1.047198 -0.523599 0.837500
1.308997 -0.523599 1.000000
1.570796 -0.523599 1.000000
1.832596 -0.523599 1.000000
2.094395 -0.523599 1.000000
2.356194 -0.523599 1.000000
2.617994 -0.523599 1.000000
2.879793 -0.523599 1.000000
3.141593 -0.523599 1.000000

-3.141593 -0.261799 1.000000
-2.879793 -0.261799 1.000000
-2.617994 -0.261799 1.000000
-2.356194 -0.261799 1.000000
-2.094395 -0.261799 1.000000
-1.832596 -0.261799 1.000000
-1.570796 -0.261799 1.000000
-1.308997 -0.261799 1.000000
-1.047198 -0.261799 0.752239
-0.785398 -0.261799 0.507463
-0.523599 -0.261799 0.264706
-0.261799 -0.261799 0.120614
0.000000 -0.261799 0.108108
0.261799 -0.261799 0.120614
0.523599 -0.261799 0.264706
0.785398 -0.261799 0.507463
1.047198 -0.261799 0.752239
1.308997 -0.261799 1.000000
1.570796 -0.261799 1.000000
1.832596 -0.261799 1.000000
2.094395 -0.261799 1.000000
2.356194 -0.261799 1.000000
2.617994 -0.261799 1.000000
2.879793 -0.261799 1.000000
3.141593 -0.261799 1.000000

-3.141593 0.000000 1.000000
-2.879793 0.000000 1.000000
-2.617994 0.000000 1.000000
-2.356194 0.000000 1.000000
-2.094395 0.000000 1.000000
-1.832596 0.000000 1.000000
-1.570796 0.000000 1.000000
-1.308997 0.000000 1.000000
-1.047198 0.000000 0.707317
-0.785398 0.000000 0.438776
-0.523599 0.000000 0.168950
-0.261799 0.000000 0.013514
0.000000 0.000000 0.000000
0.261799 0.000000 0.013514
0.523599 0.000000 0.168950
0.785398 0.000000 0.438776
1.047198 0.000000 0.707317
1.308997 0.000000 1.000000
1.570796 0.000000 1.000000
1.832596 0.000000 1.000000
2.094395 0.000000 1.000000
2.356194 0.000000 1.000000
2.617994 0.000000 1.000000
2.879793 0.000000 1.000000
3.141593 0.000000 1.000000

-3.141593 0.261799 1.000000
-2.879793 0.261799 1.000000
-2.617994 0.261799 1.000000
-2.356194 0.261799 1.000000
-2.094395 0.261799 1.000000
-1.832596 0.261799 1.000000
-1.570796 0.261799 1.000000
-1.308997 0.261799 1.000000
-1.047198 0.261799 0.752239
-0.785398 0.261799 0.507463
-0.523599 0.261799 0.264706
-0.261799 0.261799 0.120614
0.000000 0.261799 0.108108
0.261799 0.261799 0.120614
0.523599 0.261799 0.264706
0.785398 0.261799 0.507463
1.047198 0.261799 0.752239
1.308997 0.261799 1.000000
1.570796 0.261799 1.000000
1.832596 0.261799 1.000000
2.094395 0.261799 1.000000
2.356194 0.261799 1.000000
2.617994 0.261799 1.000000
2.879793 0.261799 1.000000
3.141593 0.261799 1.000000

-3.141593 0.523599 1.000000
-2.879793 0.523599 1.000000
-2.617994 0.523599 1.000000
-2.356194 0.523599 1.000000
-2.094395 0.523599 1.000000
-1.832596 0.523599 1.000000
-1.570796 0.523599 1.000000
-1.308997 0.523599 1.000000
-1.047198 0.523599 0.837500
-0.785398 0.523599 0.613577
-0.523599 0.523599 0.408115
-0.261799 0.523599 0.297052
0.000000 0.523599 0.319635
0.261799 0.523599 0.297052
0.523599 0.523599 0.408115
0.785398 0.523599 0.613577
1.047198 0.523599 0.837500
1.308997 0.523599 1.000000
1.570796 0.523599 1.000000
1.832596 0.523599 1.000000
2.094395 0.523599 1.000000
2.356194 0.523599 1.000000
2.617994 0.523599 1.000000
2.879793 0.523599 1.000000
3.141593 0.523599 1.000000

-3.141593 0.785398 1.000000
-2.879793 0.785398 1.000000
-2.617994 0.785398 1.000000
-2.356194 0.785398 1.000000
-2.094395 0.785398 1.000000
-1.832596 0.785398 1.000000
-1.570796 0.785398 1.000000
-1.308997 0.785398 1.000000
-1.047198 0.785398 0.941581
-0.785398 0.785398 0.767241
-0.523599 0.785398 0.605670
-0.261799 0.785398 0.522167
0.000000 0.785398 0.551020
0.261799 0.785398 0.522167
0.523599 0.785398 0.605670
0.785398 0.785398 0.767241
1.047198 0.785398 0.941581
1.308997 0.785398 1.000000
1.570796 0.785398 1.000000
1.832596 0.785398 1.000000
2.094395 0.785398 1.000000
2.356194 0.785398 1.000000
2.617994 0.785398 1.000000
2.879793 0.785398 1.000000
3.141593 0.785398 1.000000

-3.141593 1.047198 1.000000
-2.879793 1.047198 1.000000
-2.617994 1.047198 1.000000
-2.356194 1.047198 1.000000
-2.094395 1.047198 1.000000
-1.832596 1.047198 1.000000
-1.570796 1.047198 1.000000
-1.308997 1.047198 1.000000
-1.047198 1.047198 1.000000
-0.785398 1.047198 0.962963
-0.523599 1.047198 0.856269
-0.261799 1.047198 0.794203
0.000000 1.047198 0.841463
0.261799 1.047198 0.794203
0.523599 1.047198 0.856269
0.785398 1.047198 0.962963
1.047198 1.047198 1.000000
1.308997 1.047198 1.000000
1.570796 1.047198 1.000000
1.832596 1.047198 1.000000
2.094395 1.047198 1.000000
2.356194 1.047198 1.000000
2.617994 1.047198 1.000000
2.879793 1.047198 1.000000
3.141593 1.047198 1.000000

-3.141593 1.308997 1.000000
-2.879793 1.308997 1.000000
-2.617994 1.308997 1.000000
-2.356194 1.308997 1.000000
-2.094395 1.308997 1.000000
-1.832596 1.308997 1.000000
-1.570796 1.308997 1.000000
-1.308997 1.308997 1.000000
-1.047198 1.308997 1.000000
-0.785398 1.308997 1.000000
-0.523599 1.308997 1.000000
-0.261799 1.308997 1.000000
0.000000 1.308997 1.000000
0.261799 1.308997 1.000000
0.523599 1.308997 1.000000
0.785398 1.308997 1.000000
1.047198 1.308997 1.000000
1.308997 1.308997 1.000000
1.570796 1.308997 1.000000
1.832596 1.308997 1.000000
2.094395 1.308997 1.000000
2.356194 1.308997 1.000000
2.617994 1.308997 1.000000
2.879793 1.308997 1.000000
3.141593 1.308997 1.000000

-3.141593 1.570796 1.000000
-2.879793 1.570796 1.000000
-2.617994 1.570796 1.000000
-2.356194 1.570796 1.000000
-2.094395 1.570796 1.000000
-1.832596 1.570796 1.000000
-1.570796 1.570796 1.000000
-1.308997 1.570796 1.000000
-1.047198 1.570796 1.000000
-0.785398 1.570796 1.000000
-0.523599 1.570796 1.000000
-0.261799 1.570796 1.000000
0.000000 1.570796 1.000000
0.261799 1.570796 1.000000
0.523599 1.570796 1.000000
0.785398 1.570796 1.000000
1.047198 1.570796 1.000000
1.308997 1.570796 1.000000
1.570796 1.570796 1.000000
1.832596 1.570796 1.000000
2.094395 1.570796 1.000000
2.356194 1.570796 1.000000
2.617994 1.570796 1.000000
2.879793 1.570796 1.000000
3.141593 1.570796 1.000000

